abbr_name,full_name,credits,semester,school
GIST 550,Issues in Global Studies:,3,Spring2023,1
GIST 585,Transnational Terrorism,3,Spring2023,1
GIST 624,Social Movemnts in Middle East,3,Spring2023,1
GIST 678,Chinese Foreign Policy,3,Spring2023,1
GIST 698,Capstone Seminar,3,Spring2023,1
GIST 699,"Capstone Seminar, Honors",3,Spring2023,1
GRK 108,Ancient Greek Readings&Grammar,5,Spring2023,1
GRK 109,"Ancient Grk Readngs&Grammar,Hn",5,Spring2023,1
GRK 312,Homer's Iliad,3,Spring2023,1
HA 340,Spec Stdy Asian Art Bfre 1900:,3,Spring2023,1
HA 342,Spc Stdy18/19th Cnt Erp Am Ar:,3,Spring2023,1
HA 344,Manga: Histories and Theories,3,Spring2023,1
HA 347,Ceramics of East Asia,3,Spring2023,1
HA 353,Modern&Contmprary Afrcn Art,3,Spring2023,1
HA 372,Baroque Art in Europe,3,Spring2023,1
HA 395,Special Study in Baroque Art:,3,Spring2023,1
HA 506,Early Medieval&Romanesque Art,3,Spring2023,1
HA 510,Medevl Mnuscrpt&Erly Prntd Bks,3,Spring2023,1
HA 528,Spatial Arts of Urban Italy,3,Spring2023,1
HA 529,Archlgy&Art of Ancnt Near East,3,Spring2023,1
HA 540,Specl Sdy Asian Art Befr 1900:,3,Spring2023,1
HA 547,Ceramics of East Asia,3,Spring2023,1
HA 567,Contemporary Art,3,Spring2023,1
HA 595,Special Study in Baroque Art:,3,Spring2023,1
HA 698,Honors Essay in Art History,3,Spring2023,1
HAIT 240,Intermediate Haitian II,3,Spring2023,1
HEBR 120,Elementary Modern Hebrew II,5,Spring2023,1
HEBR 220,Intermediate Modern Hebrew II,3,Spring2023,1
HEBR 350,Advanced Modern Hebrew II,3,Spring2023,1
HEIM 420,Legal Aspects of Healthcare,3,Spring2023,1
HEIM 450,Intro to Profess Pract Exper,1,Spring2023,1
HEIM 525,Hlthcare Database & Architctre,3,Spring2023,1
HEIM 540,Health Information Systems,3,Spring2023,1
HEIM 565,Clin Terminol & Classifctons I,4,Spring2023,1
HEIM 665,Top Hlth Info Mang,2,Spring2023,1
HEIM 671,Leadership in Healthcare,3,Spring2023,1
HEIM 676,Healthcare Analytics,3,Spring2023,1
HEIM 679,Info Governance in Hlthcare,3,Spring2023,1
HEIM 680,Managemnt Internship,3,Spring2023,1
HIST 105,Intro Ancient Nr East&Grk Hist,3,Spring2023,1
HIST 108,Medieval History,3,Spring2023,1
HIST 142,Globl Env II:Ecol Hmn Civilztn,5,Spring2023,1
HIST 145,"Glbl Evrn II:Eclgy Hmn Cvlz,Hn",5,Spring2023,1
HIST 308,Key Themes Modern Global Hist,3,Spring2023,1
HIST 316,Mnistr&Mgcns:Blck Rel Slav Prs,3,Spring2023,1
HIST 337,"History, Ethics, Modernity",3,Spring2023,1
HIST 343,The Holocaust in History,3,Spring2023,1
HIST 347,Environmtl Hist of North Amrca,3,Spring2023,1
HIST 348,Histr of the Peoples of Kansas,3,Spring2023,1
HIST 352,American Indians Since 1865,3,Spring2023,1
HIST 353,Indigenous Peoples of North Am,3,Spring2023,1
HIST 359,Black Expr U.S. Since Emancptn,3,Spring2023,1
HIST 363,"Perspectives Sci, Engr & Math",3,Spring2023,1
HIST 395,History of Sushi,3,Spring2023,1
